fips_code,county_name,state_name,pop25,pop_25plus_highschool_plus,pop_25plus_bachelor_plus
13131,Grady County,Georgia,17647,14183,2699
13133,Greene County,Georgia,14559,13125,5303
13135,Gwinnett County,Georgia,621561,546539,240720
13137,Habersham County,Georgia,32080,26410,7778
13139,Hall County,Georgia,138951,113019,37144
13141,Hancock County,Georgia,6599,4877,552
13143,Haralson County,Georgia,21142,17880,3684
13145,Harris County,Georgia,24948,23183,8645
13147,Hart County,Georgia,19349,16454,3499
13149,Heard County,Georgia,7980,6856,907
13151,Henry County,Georgia,160244,148131,44927
13153,Houston County,Georgia,109888,102418,35447
13155,Irwin County,Georgia,6435,5382,1070
13157,Jackson County,Georgia,54316,47565,14833
13159,Jasper County,Georgia,10548,9391,2094
13161,Jeff Davis County,Georgia,9618,7504,1102
13163,Jefferson County,Georgia,10533,8574,1178
13165,Jenkins County,Georgia,6588,5344,515
13167,Johnson County,Georgia,6831,5147,623
13169,Jones County,Georgia,19848,18199,3653
13171,Lamar County,Georgia,12826,11505,2503
13173,Lanier County,Georgia,6711,6006,1279
13175,Laurens County,Georgia,33357,28718,5942
13177,Lee County,Georgia,21727,19893,7280
13179,Liberty County,Georgia,38651,35568,7685
13181,Lincoln County,Georgia,5796,5034,936
13183,Long County,Georgia,10988,9432,1409
13185,Lowndes County,Georgia,71112,63874,19289
13187,Lumpkin County,Georgia,21375,19042,6732
13189,McDuffie County,Georgia,14718,12593,2626
13191,McIntosh County,Georgia,8828,7202,1645
13193,Macon County,Georgia,8693,6626,956
13195,Madison County,Georgia,21354,17496,4310
13197,Marion County,Georgia,5459,4160,744
13199,Meriwether County,Georgia,14758,12137,1924
13201,Miller County,Georgia,4025,3365,882
13205,Mitchell County,Georgia,14487,12240,1863
13207,Monroe County,Georgia,20190,18332,5791
13209,Montgomery County,Georgia,5753,4906,1164
13211,Morgan County,Georgia,14737,13453,4441
13213,Murray County,Georgia,27098,21316,3705
13215,Muscogee County,Georgia,134732,119863,40067
13217,Newton County,Georgia,75003,67140,17683
13219,Oconee County,Georgia,27849,26801,15278
13221,Oglethorpe County,Georgia,10701,9371,2627
13223,Paulding County,Georgia,114874,104967,31505
13225,Peach County,Georgia,18329,16069,4457
13227,Pickens County,Georgia,25360,22802,6310
13229,Pierce County,Georgia,13466,11680,2458
13231,Pike County,Georgia,13313,11984,2851
13233,Polk County,Georgia,28861,23702,4176
13235,Pulaski County,Georgia,7616,6101,914
13237,Putnam County,Georgia,16568,14556,4685
13239,Quitman County,Georgia,1575,1295,141
13241,Rabun County,Georgia,13185,11885,3947
13243,Randolph County,Georgia,4243,3537,637
13245,Richmond County,Georgia,136137,119592,32755
13247,Rockdale County,Georgia,63347,57015,18436
13249,Schley County,Georgia,3131,2654,596
13251,Screven County,Georgia,10438,8833,1539
13253,Seminole County,Georgia,6734,6016,1065
13255,Spalding County,Georgia,46902,40039,8380
13257,Stephens County,Georgia,18368,15396,2733
13259,Stewart County,Georgia,3959,2885,488
13261,Sumter County,Georgia,18434,15540,3923
13263,Talbot County,Georgia,4373,3625,658
13265,Taliaferro County,Georgia,1290,1077,128
13267,Tattnall County,Georgia,16998,13728,2489
13269,Taylor County,Georgia,5587,4343,1014
13271,Telfair County,Georgia,8398,6590,846
13273,Terrell County,Georgia,6175,4806,712
13275,Thomas County,Georgia,31200,27462,7375
13277,Tift County,Georgia,27144,23255,5481
13279,Toombs County,Georgia,17208,14442,3351
13281,Towns County,Georgia,9779,9096,3212
13283,Treutlen County,Georgia,4196,3137,538
13285,Troup County,Georgia,46637,40995,10481
13287,Turner County,Georgia,6108,4925,677
13289,Twiggs County,Georgia,5994,4665,654
13291,Union County,Georgia,20185,17934,5191
13293,Upson County,Georgia,19211,16427,2849
13295,Walker County,Georgia,48395,41265,9714
13297,Walton County,Georgia,67595,58988,16846
13299,Ware County,Georgia,24262,19781,3643
13301,Warren County,Georgia,3740,2911,474
13303,Washington County,Georgia,14016,11874,2449
13305,Wayne County,Georgia,20527,17714,2876
13307,Webster County,Georgia,1729,1454,196
13309,Wheeler County,Georgia,5159,3957,630
13311,White County,Georgia,20158,17014,4893
13313,Whitfield County,Georgia,67343,50769,13029
13315,Wilcox County,Georgia,6371,5026,897
13317,Wilkes County,Georgia,7062,5792,1112
13319,Wilkinson County,Georgia,6156,5517,781
13321,Worth County,Georgia,14504,12546,1638
15001,Hawaii County,Hawaii,147788,137574,45673
15003,Honolulu County,Hawaii,707526,657239,266900
15005,Kalawao County,Hawaii,43,32,14
15007,Kauai County,Hawaii,53076,49211,16048
15009,Maui County,Hawaii,118918,110345,35763
16001,Ada County,Idaho,349321,332083,153355
16003,Adams County,Idaho,3591,3336,765
16005,Bannock County,Idaho,56691,53148,17124
16007,Bear Lake County,Idaho,4274,3975,869
16009,Benewah County,Idaho,7064,5964,1399
16011,Bingham County,Idaho,30081,26831,6253
16013,Blaine County,Idaho,17925,16344,8161
16015,Boise County,Idaho,6374,6092,1909
16017,Bonner County,Idaho,37113,34003,10737
16019,Bonneville County,Idaho,77930,71742,25104
16021,Boundary County,Idaho,8771,7651,1717
16023,Butte County,Idaho,1773,1553,245
16025,Camas County,Idaho,737,634,202
16027,Canyon County,Idaho,153821,134925,35118
16029,Caribou County,Idaho,4580,4147,711
16031,Cassia County,Idaho,14977,12787,3130
16033,Clark County,Idaho,474,359,82
16035,Clearwater County,Idaho,7090,6460,1379
16037,Custer County,Idaho,3691,3455,930
16039,Elmore County,Idaho,18474,16279,3917
16041,Franklin County,Idaho,8829,8303,1896
16043,Fremont County,Idaho,9290,8423,2021
16045,Gem County,Idaho,13954,12425,3109
16047,Gooding County,Idaho,10123,8077,1726
16049,Idaho County,Idaho,12710,11673,2796
16051,Jefferson County,Idaho,18730,17469,5091
16053,Jerome County,Idaho,15232,11180,2035
16055,Kootenai County,Idaho,124748,117719,35877
