fips_code,county_name,state_name,pct_households_owner_occupied,pct_households_renter_occupied
13087,Decatur County,Georgia,61.8,38.2
13089,DeKalb County,Georgia,58.5,41.5
13091,Dodge County,Georgia,68.4,31.6
13093,Dooly County,Georgia,66.6,33.4
13095,Dougherty County,Georgia,46.5,53.5
13097,Douglas County,Georgia,66.4,33.6
13099,Early County,Georgia,70.3,29.7
13101,Echols County,Georgia,76.8,23.2
13103,Effingham County,Georgia,78.5,21.5
13105,Elbert County,Georgia,68.6,31.4
13107,Emanuel County,Georgia,59.8,40.2
13109,Evans County,Georgia,64.0,36.0
13111,Fannin County,Georgia,78.2,21.8
13113,Fayette County,Georgia,81.0,19.0
13115,Floyd County,Georgia,62.1,37.9
13117,Forsyth County,Georgia,85.0,15.0
13119,Franklin County,Georgia,76.1,23.9
13121,Fulton County,Georgia,54.1,45.9
13123,Gilmer County,Georgia,80.7,19.3
13125,Glascock County,Georgia,74.2,25.8
13127,Glynn County,Georgia,67.0,33.0
13129,Gordon County,Georgia,72.6,27.4
13131,Grady County,Georgia,64.1,35.9
13133,Greene County,Georgia,79.1,20.9
13135,Gwinnett County,Georgia,66.7,33.3
13137,Habersham County,Georgia,74.7,25.3
13139,Hall County,Georgia,68.9,31.1
13141,Hancock County,Georgia,77.5,22.5
13143,Haralson County,Georgia,71.1,28.9
13145,Harris County,Georgia,88.3,11.7
13147,Hart County,Georgia,75.1,24.9
13149,Heard County,Georgia,72.0,28.0
13151,Henry County,Georgia,72.5,27.5
13153,Houston County,Georgia,67.1,32.9
13155,Irwin County,Georgia,71.2,28.8
13157,Jackson County,Georgia,79.8,20.2
13159,Jasper County,Georgia,84.2,15.8
13161,Jeff Davis County,Georgia,68.4,31.6
13163,Jefferson County,Georgia,67.9,32.1
13165,Jenkins County,Georgia,87.4,12.6
13167,Johnson County,Georgia,75.2,24.8
13169,Jones County,Georgia,85.4,14.6
13171,Lamar County,Georgia,76.2,23.8
13173,Lanier County,Georgia,71.8,28.2
13175,Laurens County,Georgia,65.3,34.7
13177,Lee County,Georgia,73.5,26.5
13179,Liberty County,Georgia,49.9,50.1
13181,Lincoln County,Georgia,79.1,20.9
13183,Long County,Georgia,63.3,36.7
13185,Lowndes County,Georgia,56.1,43.9
13187,Lumpkin County,Georgia,78.4,21.6
13189,McDuffie County,Georgia,65.2,34.8
13191,McIntosh County,Georgia,80.2,19.8
13193,Macon County,Georgia,61.1,38.9
13195,Madison County,Georgia,75.6,24.4
13197,Marion County,Georgia,77.1,22.9
13199,Meriwether County,Georgia,70.5,29.5
13201,Miller County,Georgia,68.2,31.8
13205,Mitchell County,Georgia,65.4,34.6
13207,Monroe County,Georgia,83.0,17.0
13209,Montgomery County,Georgia,76.0,24.0
13211,Morgan County,Georgia,74.8,25.2
13213,Murray County,Georgia,73.3,26.7
13215,Muscogee County,Georgia,50.2,49.8
13217,Newton County,Georgia,73.9,26.1
13219,Oconee County,Georgia,81.6,18.4
13221,Oglethorpe County,Georgia,81.5,18.5
13223,Paulding County,Georgia,80.3,19.7
13225,Peach County,Georgia,70.5,29.5
13227,Pickens County,Georgia,77.9,22.1
13229,Pierce County,Georgia,78.1,21.9
13231,Pike County,Georgia,84.8,15.2
13233,Polk County,Georgia,64.5,35.5
13235,Pulaski County,Georgia,67.6,32.4
13237,Putnam County,Georgia,82.5,17.5
13239,Quitman County,Georgia,78.7,21.3
13241,Rabun County,Georgia,77.4,22.6
13243,Randolph County,Georgia,49.5,50.5
13245,Richmond County,Georgia,51.4,48.6
13247,Rockdale County,Georgia,65.8,34.2
13249,Schley County,Georgia,79.2,20.8
13251,Screven County,Georgia,71.4,28.6
13253,Seminole County,Georgia,74.5,25.5
13255,Spalding County,Georgia,63.7,36.3
13257,Stephens County,Georgia,72.1,27.9
13259,Stewart County,Georgia,58.4,41.6
13261,Sumter County,Georgia,55.0,45.0
13263,Talbot County,Georgia,83.9,16.1
13265,Taliaferro County,Georgia,79.0,21.0
13267,Tattnall County,Georgia,72.4,27.6
13269,Taylor County,Georgia,61.6,38.4
13271,Telfair County,Georgia,71.1,28.9
13273,Terrell County,Georgia,56.5,43.5
13275,Thomas County,Georgia,61.9,38.1
13277,Tift County,Georgia,61.0,39.0
13279,Toombs County,Georgia,65.7,34.3
13281,Towns County,Georgia,80.0,20.0
13283,Treutlen County,Georgia,60.2,39.8
13285,Troup County,Georgia,57.9,42.1
13287,Turner County,Georgia,63.9,36.1
13289,Twiggs County,Georgia,89.7,10.3
13291,Union County,Georgia,82.7,17.3
13293,Upson County,Georgia,62.7,37.3
13295,Walker County,Georgia,75.7,24.3
13297,Walton County,Georgia,79.2,20.8
13299,Ware County,Georgia,61.5,38.5
13301,Warren County,Georgia,75.0,25.0
13303,Washington County,Georgia,66.9,33.1
13305,Wayne County,Georgia,65.9,34.1
13307,Webster County,Georgia,82.6,17.4
13309,Wheeler County,Georgia,68.8,31.2
13311,White County,Georgia,77.8,22.2
13313,Whitfield County,Georgia,68.0,32.0
13315,Wilcox County,Georgia,73.0,27.0
13317,Wilkes County,Georgia,66.7,33.3
13319,Wilkinson County,Georgia,83.0,17.0
13321,Worth County,Georgia,72.5,27.5
15001,Hawaii County,Hawaii,73.1,26.9
15003,Honolulu County,Hawaii,59.5,40.5
15005,Kalawao County,Hawaii,0.0,100.0
15007,Kauai County,Hawaii,67.3,32.7
15009,Maui County,Hawaii,65.0,35.0
16001,Ada County,Idaho,71.4,28.6
16003,Adams County,Idaho,83.1,16.9
16005,Bannock County,Idaho,68.6,31.4
16007,Bear Lake County,Idaho,85.0,15.0
16009,Benewah County,Idaho,75.7,24.3
16011,Bingham County,Idaho,80.6,19.4
16013,Blaine County,Idaho,75.5,24.5
16015,Boise County,Idaho,88.0,12.0
16017,Bonner County,Idaho,77.6,22.4
16019,Bonneville County,Idaho,71.6,28.4
16021,Boundary County,Idaho,78.0,22.0
16023,Butte County,Idaho,77.4,22.6
16025,Camas County,Idaho,75.8,24.2
16027,Canyon County,Idaho,75.1,24.9
16029,Caribou County,Idaho,82.0,18.0
16031,Cassia County,Idaho,70.0,30.0
16033,Clark County,Idaho,63.9,36.1
16035,Clearwater County,Idaho,81.6,18.4
16037,Custer County,Idaho,77.7,22.3
16039,Elmore County,Idaho,65.3,34.7
16041,Franklin County,Idaho,75.2,24.8
16043,Fremont County,Idaho,84.2,15.8
16045,Gem County,Idaho,76.6,23.4
16047,Gooding County,Idaho,71.4,28.6
16049,Idaho County,Idaho,80.1,19.9
16051,Jefferson County,Idaho,82.4,17.6
16053,Jerome County,Idaho,75.5,24.5
16055,Kootenai County,Idaho,72.2,27.8
16057,Latah County,Idaho,60.6,39.4
16059,Lemhi County,Idaho,81.3,18.7
16061,Lewis County,Idaho,74.2,25.8
16063,Lincoln County,Idaho,76.9,23.1
16065,Madison County,Idaho,40.2,59.8
16067,Minidoka County,Idaho,72.8,27.2
16069,Nez Perce County,Idaho,72.2,27.8
16071,Oneida County,Idaho,87.2,12.8
16073,Owyhee County,Idaho,70.9,29.1
16075,Payette County,Idaho,74.5,25.5
16077,Power County,Idaho,74.6,25.4
16079,Shoshone County,Idaho,73.8,26.2
16081,Teton County,Idaho,79.8,20.2
16083,Twin Falls County,Idaho,69.6,30.4
16085,Valley County,Idaho,85.8,14.2
16087,Washington County,Idaho,73.3,26.7
17001,Adams County,Illinois,72.5,27.5
17003,Alexander County,Illinois,77.7,22.3
17005,Bond County,Illinois,73.9,26.1
17007,Boone County,Illinois,83.0,17.0
17009,Brown County,Illinois,73.6,26.4
17011,Bureau County,Illinois,76.2,23.8
17013,Calhoun County,Illinois,89.1,10.9
17015,Carroll County,Illinois,77.8,22.2
17017,Cass County,Illinois,74.9,25.1
