FIPS Code,County Name,State Name,median_age,sex_ratio
16055,Kootenai County,Idaho,40.8,99.5
16057,Latah County,Idaho,30.7,105.2
16059,Lemhi County,Idaho,53.1,103.4
16061,Lewis County,Idaho,48.9,100.2
16063,Lincoln County,Idaho,37.2,109.6
16065,Madison County,Idaho,21.4,82.3
16067,Minidoka County,Idaho,34.5,105.1
16069,Nez Perce County,Idaho,40.9,98.5
16071,Oneida County,Idaho,40.2,96.8
16073,Owyhee County,Idaho,38.3,107.5
16075,Payette County,Idaho,38.8,100.0
16077,Power County,Idaho,33.9,107.5
16079,Shoshone County,Idaho,45.1,99.2
16081,Teton County,Idaho,39.8,104.1
16083,Twin Falls County,Idaho,35.8,98.7
16085,Valley County,Idaho,49.0,111.3
16087,Washington County,Idaho,44.6,97.6
17001,Adams County,Illinois,41.1,96.3
17003,Alexander County,Illinois,45.8,95.5
17005,Bond County,Illinois,40.4,114.3
17007,Boone County,Illinois,39.5,100.1
17009,Brown County,Illinois,40.9,166.1
17011,Bureau County,Illinois,44.1,98.0
17013,Calhoun County,Illinois,48.5,106.5
17015,Carroll County,Illinois,44.9,119.3
17017,Cass County,Illinois,38.1,95.7
17019,Champaign County,Illinois,30.9,99.0
17021,Christian County,Illinois,42.7,107.9
17023,Clark County,Illinois,42.0,100.1
17025,Clay County,Illinois,41.5,100.3
17027,Clinton County,Illinois,41.4,107.7
17029,Coles County,Illinois,38.2,96.8
17031,Cook County,Illinois,37.8,95.3
17033,Crawford County,Illinois,42.4,112.8
17035,Cumberland County,Illinois,42.3,106.2
17037,DeKalb County,Illinois,32.6,99.0
17039,De Witt County,Illinois,44.0,100.9
17041,Douglas County,Illinois,38.9,97.8
17043,DuPage County,Illinois,40.0,98.0
17045,Edgar County,Illinois,46.4,96.4
17047,Edwards County,Illinois,44.6,96.3
17049,Effingham County,Illinois,39.5,101.8
17051,Fayette County,Illinois,41.7,110.3
17053,Ford County,Illinois,42.5,99.8
17055,Franklin County,Illinois,43.4,99.1
