fips_code,county_name,state_name,latitude,longitude
35057,Torrance County,New Mexico,34.64045762297209,-105.85081148891855
35059,Union County,New Mexico,36.481600259937046,-103.47100580189614
35061,Valencia County,New Mexico,34.71548552755404,-106.80901135996648
36001,Albany County,New York,42.600178610517,-73.97355244227745
36003,Allegany County,New York,42.25742806457233,-78.02757814803884
36005,Bronx County,New York,40.85007275189591,-73.8675226312176
36007,Broome County,New York,42.1602443829871,-75.81956099312585
36009,Cattaraugus County,New York,42.248594329978744,-78.67883566889589
36011,Cayuga County,New York,42.91750217957766,-76.55451305201696
36013,Chautauqua County,New York,42.22813451559912,-79.36632542238998
36015,Chemung County,New York,42.14127110454362,-76.76004036911371
36017,Chenango County,New York,42.493525528099696,-75.61156149452205
36019,Clinton County,New York,44.746209796391085,-73.67817879727045
36021,Columbia County,New York,42.250093315025325,-73.6318140440438
36023,Cortland County,New York,42.59502808760242,-76.07030061831377
36025,Delaware County,New York,42.19807539526923,-74.96649543972123
36027,Dutchess County,New York,41.76516964106293,-73.74286928699944
36029,Erie County,New York,42.76393709934152,-78.73224926122961
36031,Essex County,New York,44.117190448305465,-73.77261791743624
36033,Franklin County,New York,44.592865814087425,-74.30382982096862
36035,Fulton County,New York,43.113833796446336,-74.42224187317046
36037,Genesee County,New York,43.000937726265015,-78.19374917895883
36039,Greene County,New York,42.276504778535795,-74.12278199509858
36041,Hamilton County,New York,43.66112023560453,-74.49737150362661
36043,Herkimer County,New York,43.4192703754,-74.96237249694464
36045,Jefferson County,New York,44.04959131823596,-75.92025675156884
36047,Kings County,New York,40.64131126634357,-73.93836839656217
36049,Lewis County,New York,43.78504823583984,-75.44865949090618
36051,Livingston County,New York,42.728041319337365,-77.77547926733054
36053,Madison County,New York,42.9127178581053,-75.66962983919638
36055,Monroe County,New York,43.146461046610035,-77.69611722611542
36057,Montgomery County,New York,42.90228972669386,-74.43967327100684
36059,Nassau County,New York,40.73265415450996,-73.58622928991298
36061,New York County,New York,40.779399563793454,-73.96670468672357
36063,Niagara County,New York,43.200087121896736,-78.74529847911231
36065,Oneida County,New York,43.241754510993665,-75.435820605479
36067,Onondaga County,New York,43.00579767401658,-76.19462319289694
36069,Ontario County,New York,42.852843100704426,-77.29978586246115
36071,Orange County,New York,41.402161518636156,-74.30563815634922
36073,Orleans County,New York,43.25209743933253,-78.23121793642807
36075,Oswego County,New York,43.42692049163033,-76.14132960523814
36077,Otsego County,New York,42.63375754275518,-75.03254799538205
36079,Putnam County,New York,41.42671456890355,-73.74948516368556
36081,Queens County,New York,40.70345400311084,-73.81957946072446
36083,Rensselaer County,New York,42.711060968712836,-73.50971517320264
36085,Richmond County,New York,40.58071879671016,-74.15306272124613
