fips_code,county_name,state_name,poverty_rate
17017,Cass County,Illinois,0.11599999999999999
17019,Champaign County,Illinois,0.162
17021,Christian County,Illinois,0.121
17023,Clark County,Illinois,0.12
17025,Clay County,Illinois,0.149
17027,Clinton County,Illinois,0.075
17029,Coles County,Illinois,0.17300000000000001
17031,Cook County,Illinois,0.132
17033,Crawford County,Illinois,0.142
17035,Cumberland County,Illinois,0.11199999999999999
17037,DeKalb County,Illinois,0.125
17039,De Witt County,Illinois,0.10800000000000001
17041,Douglas County,Illinois,0.09
17043,DuPage County,Illinois,0.066
17045,Edgar County,Illinois,0.136
17047,Edwards County,Illinois,0.139
17049,Effingham County,Illinois,0.098
17051,Fayette County,Illinois,0.17
17053,Ford County,Illinois,0.11
17055,Franklin County,Illinois,0.179
17057,Fulton County,Illinois,0.11800000000000001
17059,Gallatin County,Illinois,0.175
17061,Greene County,Illinois,0.138
17063,Grundy County,Illinois,0.068
17065,Hamilton County,Illinois,0.113
17067,Hancock County,Illinois,0.13
17069,Hardin County,Illinois,0.192
17071,Henderson County,Illinois,0.132
17073,Henry County,Illinois,0.096
17075,Iroquois County,Illinois,0.12300000000000001
17077,Jackson County,Illinois,0.207
17079,Jasper County,Illinois,0.094
17081,Jefferson County,Illinois,0.154
17083,Jersey County,Illinois,0.10800000000000001
17085,Jo Daviess County,Illinois,0.086
17087,Johnson County,Illinois,0.152
17089,Kane County,Illinois,0.084
17091,Kankakee County,Illinois,0.115
17093,Kendall County,Illinois,0.051
17095,Knox County,Illinois,0.163
17097,Lake County,Illinois,0.08199999999999999
17099,LaSalle County,Illinois,0.11599999999999999
17101,Lawrence County,Illinois,0.183
17103,Lee County,Illinois,0.10099999999999999
17105,Livingston County,Illinois,0.111
17107,Logan County,Illinois,0.14400000000000002
17109,McDonough County,Illinois,0.19899999999999998
17111,McHenry County,Illinois,0.063
17113,McLean County,Illinois,0.11
17115,Macon County,Illinois,0.157
17117,Macoupin County,Illinois,0.13
17119,Madison County,Illinois,0.111
17121,Marion County,Illinois,0.16
17123,Marshall County,Illinois,0.102
17125,Mason County,Illinois,0.149
17127,Massac County,Illinois,0.177
17129,Menard County,Illinois,0.10300000000000001
17131,Mercer County,Illinois,0.098
17133,Monroe County,Illinois,0.049
17135,Montgomery County,Illinois,0.147
17137,Morgan County,Illinois,0.139
17139,Moultrie County,Illinois,0.11
17141,Ogle County,Illinois,0.092
17143,Peoria County,Illinois,0.168
17145,Perry County,Illinois,0.17
17147,Piatt County,Illinois,0.068
17149,Pike County,Illinois,0.15
17151,Pope County,Illinois,0.161
17153,Pulaski County,Illinois,0.22399999999999998
17155,Putnam County,Illinois,0.08800000000000001
17157,Randolph County,Illinois,0.11800000000000001
17159,Richland County,Illinois,0.131
17161,Rock Island County,Illinois,0.14800000000000002
17163,St. Clair County,Illinois,0.134
17165,Saline County,Illinois,0.185
17167,Sangamon County,Illinois,0.11900000000000001
17169,Schuyler County,Illinois,0.13699999999999998
17171,Scott County,Illinois,0.114
17173,Shelby County,Illinois,0.106
17175,Stark County,Illinois,0.113
17177,Stephenson County,Illinois,0.127
17179,Tazewell County,Illinois,0.08900000000000001
17181,Union County,Illinois,0.159
17183,Vermilion County,Illinois,0.195
17185,Wabash County,Illinois,0.14400000000000002
17187,Warren County,Illinois,0.121
17189,Washington County,Illinois,0.087
17191,Wayne County,Illinois,0.127
17193,White County,Illinois,0.149
17195,Whiteside County,Illinois,0.114
17197,Will County,Illinois,0.07200000000000001
17199,Williamson County,Illinois,0.168
17201,Winnebago County,Illinois,0.147
17203,Woodford County,Illinois,0.069
18001,Adams County,Indiana,0.114
18003,Allen County,Indiana,0.13
18005,Bartholomew County,Indiana,0.1
18007,Benton County,Indiana,0.099
18009,Blackford County,Indiana,0.157
18011,Boone County,Indiana,0.047
18013,Brown County,Indiana,0.099
18015,Carroll County,Indiana,0.092
18017,Cass County,Indiana,0.131
18019,Clark County,Indiana,0.094
18021,Clay County,Indiana,0.126
18023,Clinton County,Indiana,0.114
18025,Crawford County,Indiana,0.177
18027,Daviess County,Indiana,0.106
18029,Dearborn County,Indiana,0.079
